match_id,date,venue,city,innings,team,team_total_score,overs_played
1299587,06-02-2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,1,Oman,195,47.7
1299587,06-02-2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2,United Arab Emirates,196,45.8
1299588,08-02-2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,1,Oman,214,50.3
1299588,08-02-2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,2,United Arab Emirates,214,50.7
1302349,31-05-2022,"VRA Ground, Amstelveen",Amstelveen,1,Netherlands,240,46.7
1302349,31-05-2022,"VRA Ground, Amstelveen",Amstelveen,2,West Indies,249,43.8
1302350,02-06-2022,"VRA Ground, Amstelveen",Amstelveen,1,Netherlands,214,50
1302350,02-06-2022,"VRA Ground, Amstelveen",Amstelveen,2,West Indies,217,47.2
1302351,04-06-2022,"VRA Ground, Amstelveen",Amstelveen,1,West Indies,308,53.3
1302351,04-06-2022,"VRA Ground, Amstelveen",Amstelveen,2,Netherlands,288,52
1302616,05-03-2022,"ICC Academy, Dubai",Dubai,1,Oman,225,51.8
1302616,05-03-2022,"ICC Academy, Dubai",Dubai,2,United Arab Emirates,213,49.8
1302617,06-03-2022,"ICC Academy, Dubai",Dubai,1,Namibia,226,51.2
1302617,06-03-2022,"ICC Academy, Dubai",Dubai,2,Oman,116,42.7
1302618,08-03-2022,"ICC Academy, Dubai",Dubai,1,Namibia,206,52.2
1302618,08-03-2022,"ICC Academy, Dubai",Dubai,2,United Arab Emirates,207,49.3
1302619,09-03-2022,"ICC Academy, Dubai",Dubai,1,Oman,221,50.7
1302619,09-03-2022,"ICC Academy, Dubai",Dubai,2,United Arab Emirates,213,49.5
1302620,11-03-2022,Sharjah Cricket Stadium,Sharjah,1,Namibia,275,51.2
1302620,11-03-2022,Sharjah Cricket Stadium,Sharjah,2,Oman,276,47
1302621,12-03-2022,Sharjah Cricket Stadium,Sharjah,1,United Arab Emirates,348,51.5
1302621,12-03-2022,Sharjah Cricket Stadium,Sharjah,2,Namibia,305,51.3
1302622,14-03-2022,Dubai International Cricket Stadium,Dubai,1,Oman,265,51.7
1302622,14-03-2022,Dubai International Cricket Stadium,Dubai,2,Namibia,266,48.8
1302623,15-03-2022,Sharjah Cricket Stadium,Sharjah,1,Papua New Guinea,176,50.7
1302623,15-03-2022,Sharjah Cricket Stadium,Sharjah,2,United Arab Emirates,179,45.5
1302624,16-03-2022,Sharjah Cricket Stadium,Sharjah,1,Papua New Guinea,204,50.5
1302624,16-03-2022,Sharjah Cricket Stadium,Sharjah,2,Nepal,208,50.7
1302625,18-03-2022,Dubai International Cricket Stadium,Dubai,1,United Arab Emirates,168,47.5
1302625,18-03-2022,Dubai International Cricket Stadium,Dubai,2,Nepal,120,35.8
1302626,19-03-2022,Dubai International Cricket Stadium,Dubai,1,United Arab Emirates,147,51.7
1302626,19-03-2022,Dubai International Cricket Stadium,Dubai,2,Papua New Guinea,150,37
1302627,21-03-2022,Dubai International Cricket Stadium,Dubai,1,United Arab Emirates,202,50.3
1302627,21-03-2022,Dubai International Cricket Stadium,Dubai,2,Nepal,103,36
1302628,22-03-2022,Dubai International Cricket Stadium,Dubai,1,Papua New Guinea,173,50.5
1302628,22-03-2022,Dubai International Cricket Stadium,Dubai,2,Nepal,174,38.5
